dataset_group,dataset,seed,ari,edge_weight_entropy,effective_neighbor_count,max_edge_weight_p95,fraction_effective_neighbors_lt_2,mean_node_gate,fraction_gate_gt_90pct_max,mean_pseudo_perturbation
negative,Macosko,42,0.3446655686846679,2.2433526515960693,9.436885833740234,0.23006495833396912,8.926977325477593e-05,0.08524679392576218,0.0,0.08109718561172485
positive,Melanoma_5K,42,0.6579231820466342,2.2190656661987305,9.249198913574219,0.3013256788253784,0.0,0.0871904194355011,0.0,0.11763996630907059
neutral,Pollen,42,0.9117169509043687,2.221238613128662,9.305465698242188,0.30540797114372253,0.0033222591362126247,0.09208845347166061,0.0,0.18987642228603363
positive,Quake_Smart-seq2_Lung,42,0.7401601894929474,2.2169153690338135,9.266043663024902,0.25968506932258606,0.0,0.0962647870182991,0.0,0.0788821280002594
positive,SRP182008,42,0.36470356973857815,2.2392418384552,9.404626846313477,0.25627434253692627,0.0,0.08406561613082886,0.0,0.12592177093029022
negative,Tosches,42,0.5311731834994952,2.245666027069092,9.459118843078613,0.22250010073184967,0.00010715816545220746,0.0868874117732048,0.0,0.07777141034603119
neutral,Wang,42,0.942741283722221,2.2471065521240234,9.480402946472168,0.22201292216777802,0.0,0.0865606963634491,0.0,0.057072192430496216
negative,worm_neuron_cell,42,0.5164871944321361,2.1828453540802,8.935754776000977,0.35976099967956543,0.0,0.08112379163503647,0.0,0.21333429217338562
negative,Macosko,2024,0.5058188394971617,2.2433526515960693,9.436885833740234,0.23006495833396912,8.926977325477593e-05,0.08524679392576218,0.0,0.08109718561172485
negative,Macosko,3407,0.34751131932798196,2.2433526515960693,9.436885833740234,0.23006495833396912,8.926977325477593e-05,0.08524679392576218,0.0,0.08109718561172485
positive,Melanoma_5K,2024,0.6685121314280122,2.2185378074645996,9.244638442993164,0.30203282833099365,0.0,0.0872996523976326,0.0,0.11707593500614166
positive,Melanoma_5K,3407,0.6548574906922361,2.219299077987671,9.250264167785645,0.3034878969192505,0.0,0.08736367523670197,0.0,0.11698134988546371
neutral,Pollen,2024,0.9110248710472785,2.2200961112976074,9.299785614013672,0.3082233667373657,0.0,0.0920877680182457,0.0,0.1899552196264267
neutral,Pollen,3407,0.9114744502711588,2.2210588455200195,9.30068588256836,0.32357653975486755,0.0033222591362126247,0.0918908566236496,0.0,0.18999668955802917
positive,Quake_Smart-seq2_Lung,2024,0.5811434992397251,2.21667218208313,9.262414932250977,0.26725199818611145,0.0,0.09639891237020493,0.0,0.07868320494890213
positive,Quake_Smart-seq2_Lung,3407,0.7561986182942864,2.218108654022217,9.27310848236084,0.2622280716896057,0.0,0.0963851660490036,0.0,0.07863794267177582
positive,SRP182008,2024,0.46817819293085816,2.2392418384552,9.404626846313477,0.25627434253692627,0.0,0.08406561613082886,0.0,0.12592177093029022
positive,SRP182008,3407,0.4590182628881726,2.2392418384552,9.404626846313477,0.25627434253692627,0.0,0.08406561613082886,0.0,0.12592177093029022
negative,Tosches,2024,0.5275416350766454,2.245666027069092,9.459118843078613,0.22250010073184967,0.00010715816545220746,0.0868874117732048,0.0,0.07777141034603119
negative,Tosches,3407,0.5250948995613949,2.245666027069092,9.459118843078613,0.22250010073184967,0.00010715816545220746,0.0868874117732048,0.0,0.07777141034603119
neutral,Wang,2024,0.9449891679381894,2.2468767166137695,9.478559494018555,0.22523818910121918,0.0,0.08658362925052643,0.0,0.05711151659488678
neutral,Wang,3407,0.9422847409106565,2.2465953826904297,9.476161003112793,0.22179339826107025,0.0,0.08645619451999664,0.0,0.0571012906730175
negative,worm_neuron_cell,2024,0.3200631050734612,2.181410074234009,8.92567253112793,0.3600058853626251,0.0,0.08114515990018845,0.0,0.2142239511013031
negative,worm_neuron_cell,3407,0.47951341962204735,2.1824874877929688,8.93447494506836,0.3624444007873535,0.0,0.08114005625247955,0.0,0.21278813481330872
