rank,method_dir,status,smoke_status,github_status,benchmark_status,notes
1,rank01_scdiva_discrete_diffusion_full,screen_failed,synthetic_and_melanoma_small_real_data_pass,clone_failed_auth_or_private,melanoma_screen_failed_ari_0.530250,"Independent token diffusion Transformer with explicit loss.py and source_manifest.json. Melanoma_5K quick screen seed42: ACC=0.657212, NMI=0.604449, ARI=0.530250, F1=0.503932 after 25 epochs on GPU5; below scMAE Melanoma ARI about 0.668, so do not enter formal three-dataset benchmark without redesign."
2,rank02_maskfeat_gene_features_full,screen_failed,synthetic_and_melanoma_small_real_data_pass,cloned_commit_287ec0076846560f44a9327e931a5a2360240533,melanoma_screen_failed_ari_0.251842,"Independent MaskFeat gene-patch feature prediction; not the old gene-stat auxiliary head. Melanoma_5K quick screen seed42: ACC=0.403723, NMI=0.367150, ARI=0.251842, F1=0.341047, far below scMAE Melanoma ARI about 0.668; do not enter formal three-dataset benchmark unless redesigned."
3,rank03_consistency_models_full,screen_failed,synthetic_and_melanoma_small_real_data_pass,cloned_commit_e32b69ee436d518377db86fb2127a3972d0d8716,melanoma_screen_failed_ari_0.525432,"Independent consistency-model scMAE with Karras sigma schedule, boundary-condition denoising scalings, adjacent-time EMA target consistency, Pseudo-Huber robust loss, and explicit mask semantics. Melanoma_5K quick screen seed42: ACC=0.618879, NMI=0.653005, ARI=0.525432, F1=0.506649 after 25 epochs on GPU5; below scMAE Melanoma ARI about 0.668, so do not enter formal three-dataset benchmark without redesign."
4,rank04_joao_graphcl_full,screen_failed,synthetic_and_melanoma_small_real_data_pass,cloned_commit_8f3c2ac7831b88693e932c924428d0c3fe065894,melanoma_screen_failed_ari_0.473741,"Independent JOAO GraphCL scMAE with batch-local KNN cell graph, GCN encoder, five graph/expression augmentations, learned aug_prob simplex update, NT-Xent contrastive loss, and masked reconstruction branch. Melanoma_5K quick screen seed42: ACC=0.612896, NMI=0.581485, ARI=0.473741, F1=0.481978 after 25 epochs on GPU5; final aug_prob concentrated on cell feature drop/subgraph keep, but below scMAE Melanoma ARI about 0.668."
5,rank05_tabr_retrieval_full,screen_failed,synthetic_and_melanoma_small_real_data_pass,cloned_commit_17baa9082506f8e7a0f8d11bb1e08212926a1507,melanoma_screen_failed_ari_0.569282,"Independent TabR retrieval scMAE with query/candidate key encoder, exact nearest-neighbor context search with self-neighbor removal, TabR-style residual context value, attention context injection, and masked reconstruction. Melanoma_5K quick screen seed42: ACC=0.699756, NMI=0.676540, ARI=0.569282, F1=0.633085 after 25 epochs on GPU5; closest so far but still below scMAE Melanoma ARI about 0.668."
6,rank06_scvgae_zinb_graph_full,screen_failed,synthetic_and_melanoma_small_real_data_pass,clone_failed_auth_or_private,melanoma_screen_failed_ari_0.425145,"Independent scVGAE adaptation with batch-local KNN graph, GCN encoder, VAE latent, ZINB mean/dropout/dispersion graph heads, KL loss, and masked reconstruction branch. GitHub clone failed anonymously, so implementation uses local PDF/report. Melanoma_5K quick screen seed42: ACC=0.582539, NMI=0.580844, ARI=0.425145, F1=0.456258 after 25 epochs on GPU5; below scMAE Melanoma ARI about 0.668."
7,rank07_dinobloom_dino_scmae,skipped_not_primary_scmae_experiment,not_run,not_checked,not_run,"DinoBloom is a hematology image foundation model; without external image model/weights it is not a fair complete scRNA scMAE variant. DINO-style teacher-student will be covered later by rank019/data2vec or DINO self-distillation if implemented from non-image SSL."
8,rank08_sccello_ontology_scmae,skipped_not_primary_scmae_experiment,not_run,not_checked,not_run,"scCello depends on cell ontology/foundation-model supervision; using ontology labels would change unsupervised clustering fairness for these datasets. Skipped as primary scMAE benchmark variant."
9,rank09_langcell_language_scmae,skipped_not_primary_scmae_experiment,not_run,not_checked,not_run,"LangCell is language-cell pretraining; complete reproduction requires text/cell foundation-model setup and external pretraining. Skipped as primary no-large-external-weight scMAE variant."
10,rank10_celler_longtail_full,screen_failed,synthetic_and_melanoma_small_real_data_pass,cloned_commit_6b27dee9cf55c3a16a84a7a4f649647a2ab8dca2,melanoma_screen_failed_ari_0.564727,"Independent Celler long-tail scMAE with Gaussian Inflation Loss over pseudo prototypes, KMeans pseudo-cluster counts, rare-cluster reweighting, hard sample mining from reconstruction error/uncertainty, and masked reconstruction branch. Melanoma_5K quick screen seed42: ACC=0.628850, NMI=0.688649, ARI=0.564727, F1=0.515831 after 25 epochs on GPU5; close to Rank05 but below scMAE Melanoma ARI about 0.668."
11,rank11_scmamba_ssm_full,screen_failed,synthetic_and_melanoma_small_real_data_pass,cloned_commit_4887c0a8ab060b2482384d2294fe265b633d2406,melanoma_screen_failed_ari_0.283059,"Independent scMamba selective-SSM scMAE with patch tokenizer, learned mask token, explicit A/B/C/D/delta selective scan, causal depthwise convolution, residual SSM blocks, and masked patch reconstruction. Official mamba_ssm/causal_conv1d kernels unavailable, so no silent fallback or Linear+Sigmoid approximation is used. Melanoma_5K quick screen seed42: ACC=0.481055, NMI=0.414006, ARI=0.283059, F1=0.389079 after 25 epochs on GPU5; below scMAE Melanoma ARI about 0.668, so do not enter formal three-dataset benchmark without redesign."
12,rank12_single_cell_flm_survey,skipped_review_only,not_run,not_applicable,not_run,"A Survey on Foundation Language Models for Single-cell Biology is a survey/related-work source rather than an implementable scMAE model. It is useful for paper positioning but is not counted as a new variant."
13,rank13_masked_sc_clustering_full,screen_failed,synthetic_and_melanoma_small_real_data_pass,no_github_pdf_sha_07A1AC9FF48A3521C627E9093309CC2820BEB443701EDB9B514E3C3699D06D53,melanoma_screen_failed_ari_0.496678,"Independent mask-sc adaptation with 2D expression matrix patch embeddings, visible-only Transformer encoder, sequence-guided decoder, learned mask tokens, and a frozen sequence-level target encoder trained internally with contrastive-sc style self-supervision before masked modeling. Melanoma_5K quick screen seed42: ACC=0.596277, NMI=0.622791, ARI=0.496678, F1=0.453728 after target pretrain 5 epochs and mask-sc 25 epochs on GPU5; below scMAE Melanoma ARI about 0.668, so do not enter formal three-dataset benchmark without redesign."
14,rank14_cicl_iter_contrast_full,screen_failed,synthetic_and_melanoma_small_real_data_pass,cloned_commit_aba15bc81dc0b4999f56c7a82dd5f13bf109f27c,melanoma_screen_failed_ari_0.370997,"Independent CICL adaptation with gene-patch Transformer encoder, iterative KMeans pseudo labels, Student-t clustering probabilities, projection head, instance InfoNCE, cluster-aware contrastive loss, DEC-style KL stabilization, and auxiliary scMAE masked reconstruction branch. Melanoma_5K quick screen seed42: ACC=0.510082, NMI=0.502244, ARI=0.370997, F1=0.373784 after 25 epochs on GPU5; below scMAE Melanoma ARI about 0.668, so do not enter formal three-dataset benchmark without redesign."
15,rank15_scagc_adaptive_graph_full,screen_failed,synthetic_and_melanoma_small_real_data_pass,no_github_pdf_sha_E63386A5EC7B85E74FE71C2102A6318FFFA9A08A0218C78BE9B161AABDAF5D44,melanoma_screen_failed_ari_0.527687,"Independent scAGC adaptation with mini-batch KNN initial graph, RBF Gumbel-TopK straight-through adaptive graph, symmetric adjacency, TAGCN 0..K-hop encoder, inner-product graph decoder, ZINB decoder, temporal graph contrastive guidance, KL clustering objective, and auxiliary scMAE masked reconstruction. Melanoma_5K quick screen seed42: ACC=0.615333, NMI=0.646286, ARI=0.527687, F1=0.480268 after 25 epochs on GPU5; below scMAE Melanoma ARI about 0.668, so do not enter formal three-dataset benchmark without redesign."
16,rank16_single_cell_multiomics_integration_review,skipped_review_only,not_run,not_applicable,not_run,"Computational Methods for Single-Cell Multi-Omics Integration and Alignment is a review/background source rather than a primary implementable scMAE clustering model."
17,rank17_interpretable_deep_learning_review,skipped_review_or_direction_only,not_run,not_applicable,not_run,"Interpretable Deep Learning in Single-Cell Omics is an interpretability survey/direction source; useful for writing and later gene-gate design, but not counted as a standalone model variant."
18,rank18_beit_tokenizer_full,screen_failed,synthetic_and_melanoma_small_real_data_pass,cloned_commit_833df7e7832e5064a281131ee64a481afa8e5b95,melanoma_screen_failed_ari_0.408118,"Independent BEiT adaptation with expression patch embeddings, learned mask token, Transformer encoder, dataset-local quantile expression tokenizer, masked patch token cross-entropy, and auxiliary masked expression reconstruction. Melanoma_5K quick screen seed42: ACC=0.551518, NMI=0.545871, ARI=0.408118, F1=0.443030 after 25 epochs on GPU5; below scMAE Melanoma ARI about 0.668, so do not enter formal three-dataset benchmark without redesign."
19,rank19_data2vec_ema_full,screen_failed,synthetic_and_melanoma_small_real_data_pass,cloned_commit_3d262bb25690e4eb2e7d3c1309b1e9c406ca4b99,melanoma_screen_failed_ari_0.161320,"Independent data2vec adaptation with EMA teacher/student encoders, full-input teacher targets, masked-input student prediction, top-K layer-normalized teacher target averaging, SmoothL1 latent regression only on masked patches, EMA schedule, and auxiliary masked expression reconstruction. Melanoma_5K quick screen seed42: ACC=0.412807, NMI=0.256247, ARI=0.161320, F1=0.374823 after 25 epochs on GPU5; below scMAE Melanoma ARI about 0.668, so do not enter formal three-dataset benchmark without redesign."
20,rank20_multimae_targets_full,screen_failed,synthetic_and_melanoma_small_real_data_pass,cloned_commit_66910f5b5ba236f5e731883db85fe4f24ee01106,melanoma_screen_failed_ari_0.215508,"Independent MultiMAE adaptation with expression/rank/stat task input adapters, Dirichlet visible-token sampling across tasks, shared visible-token Transformer encoder, task-specific cross-attention decoders, and masked-token-only losses. Melanoma_5K quick screen seed42: ACC=0.379127, NMI=0.334000, ARI=0.215508, F1=0.268009 after 25 epochs on GPU5; below scMAE Melanoma ARI about 0.668, so do not enter formal three-dataset benchmark without redesign."
21,rank21_audiomae_local_window_full,screen_failed,synthetic_and_melanoma_small_real_data_pass,cloned_commit_bd60e29651285f80d32a6405082835ad26e6f19f,melanoma_screen_failed_ari_0.195674,"Independent AudioMAE adaptation with expression vector padded to a 2D gene grid, Conv2d patch embedding, AudioMAE-style 2D row/column masking, visible-patch MAE encoder, decoder mask-token unshuffle, shifted local-window decoder attention, and masked-patch-only reconstruction loss excluding padded genes from the denominator. Melanoma_5K quick screen seed42: ACC=0.357855, NMI=0.325007, ARI=0.195674, F1=0.348075 after 25 epochs on GPU5; below scMAE Melanoma ARI about 0.668, so do not enter formal three-dataset benchmark without redesign."
22,rank22_ijepa_gene_context_full,screen_failed,synthetic_and_melanoma_small_real_data_pass,cloned_commit_52c1ae95d05f743e000e8f10a1f3a79b10cff048,melanoma_screen_failed_ari_0.454131,"Independent I-JEPA adaptation with gene-patch context encoder, EMA target encoder, non-overlapping context/target masks, predictor target tokens with positional embeddings, target-block SmoothL1 latent prediction loss, and auxiliary masked reconstruction branch. Melanoma_5K quick screen seed42: ACC=0.587857, NMI=0.596559, ARI=0.454131, F1=0.493923 after 80 epochs on GPU5; below scMAE Melanoma ARI about 0.668, so do not enter formal three-dataset benchmark without redesign."
23,rank23_maskgit_iterative_full,screen_failed,synthetic_and_melanoma_small_real_data_pass,cloned_commit_1db23594e1bd328ee78eadcd148a19281cd0f5b8,melanoma_screen_failed_ari_0.062727,"Independent MaskGIT adaptation with quantized expression patch tokens, learned [MASK] token, BERT-style bidirectional token Transformer, cosine high-mask schedule, masked-token cross entropy, confidence-based iterative decode, and auxiliary patch reconstruction. Melanoma_5K quick screen seed42: ACC=0.243297, NMI=0.148566, ARI=0.062727, F1=0.211855 after 80 epochs on GPU5; far below scMAE Melanoma ARI about 0.668, so do not enter formal three-dataset benchmark without redesign."
24,rank24_flow_matching,skipped_not_primary_scmae_experiment,not_run,not_checked,not_run,"Flow Matching is a continuous generative modeling objective; a complete fair adaptation would add heavy flow training and has weak direct comparability to fixed-k scRNA clustering in this benchmark phase."
25,rank25_anomaly_transformer,skipped_not_primary_scmae_experiment,not_run,not_checked,not_run,"Anomaly Transformer is optimized for anomaly association/discrepancy rather than unsupervised fixed-k cell-type clustering, so it is skipped as a primary independent scMAE benchmark variant."
